away_team_name,away_team_code,away_pitcher,away_player1,away_player2,away_player3,away_player4,away_player5,away_player6,away_player7,away_player8,away_player9,home_team_name,home_team_code,home_pitcher,home_player1,home_player2,home_player3,home_player4,home_player5,home_player6,home_player7,home_player8,home_player9
Blue Jays,TOR,Sean Reid-Foley,Bo Bichette,Cavan Biggio,Lourdes Gurriel Jr.,Vladimir Guerrero Jr.,Justin Smoak,Randal Grichuk,Teoscar Hernandez,Brandon Drury,Danny Jansen,Orioles,BAL,Jimmy Yacabonis,Jonathan Villar,Trey Mancini,Anthony Santander,Renato Nunez,Jace Peterson,Hanser Alberto,Chance Sisco,Chris Davis,Stevie Wilkerson
White Sox,CWS,Reynaldo Lopez,Leury Garcia,Tim Anderson,Jose Abreu,Jon Jay,Eloy Jimenez,Ryan Goins,James McCann,Yolmer Sanchez,Reynaldo Lopez,Phillies,PHI,Drew Smyly,Corey Dickerson,Jean Segura,Bryce Harper,Rhys Hoskins,J.T. Realmuto,Cesar Hernandez,Scott Kingery,Drew Smyly,Roman Quinn
Angels,LAA,Jaime Barria,Brian Goodwin,Mike Trout,Shohei Ohtani,Albert Pujols,Kole Calhoun,David Fletcher,Matt Thaiss,Luis Rengifo,Max Stassi,Indians,CLE,Shane Bieber,Francisco Lindor,Oscar Mercado,Carlos Santana,Yasiel Puig,Jose Ramirez,Franmil Reyes,Jason Kipnis,Roberto Perez,Jordan Luplow
Marlins,MIA,Caleb Smith,Miguel Rojas,Jon Berti,Garrett Cooper,Brian Anderson,Curtis Granderson,Starlin Castro,Harold Ramirez,Cesar Puello,Bryan Holaday,Rays,TB,Yonny Chirinos,Matt Duffy,Tommy Pham,Jesus Aguilar,Travis d'Arnaud,Avisail Garcia,Mike Brosseau,Guillermo Heredia,Mike Zunino,Willy Adames
Reds,CIN,Sonny Gray,Jesse Winker,Joey Votto,Eugenio Suarez,Josh VanMeter,Nick Senzel,Derek Dietrich,Jose Iglesias,Tucker Barnhart,Sonny Gray,Braves,ATL,Julio Teheran,Ronald Acuna Jr.,Ozzie Albies,Josh Donaldson,Adam Duvall,Austin Riley,Ender Inciarte,Johan Camargo,Tyler Flowers,Julio Teheran
Mets,NYM,Noah Syndergaard,Jeff McNeil,Michael Conforto,Todd Frazier,Robinson Cano,J.D. Davis,Amed Rosario,Adeiny Hechavarria,Tomas Nido,Noah Syndergaard,Pirates,PIT,Joe Musgrove,Adam Frazier,Bryan Reynolds,Starling Marte,Josh Bell,Melky Cabrera,Colin Moran,Kevin Newman,Jacob Stallings,Joe Musgrove
Mariners,SEA,Sam Tuivailala,Mallex Smith,Omar Narvaez,Domingo Santana,Daniel Vogelbach,Kyle Seager,Tim Beckham,J.P. Crawford,Austin Nola,Dylan Moore,Astros,HOU,Justin Verlander,George Springer,Jose Altuve,Alex Bregman,Yordan Alvarez,Carlos Correa,Yuli Gurriel,Robinson Chirinos,Jake Marisnick,Josh Reddick
Royals,KC,Brad Keller,Whit Merrifield,Alex Gordon,Hunter Dozier,Jorge Soler,Cheslor Cuthbert,Bubba Starling,Humberto Arteaga,Nicky Lopez,Cam Gallagher,Twins,MIN,Devin Smeltzer,Max Kepler,Luis Arraez,Nelson Cruz,Eddie Rosario,Miguel Sano,Ehire Adrianza,C.J. Cron,Jason Castro,Jake Cave
Brewers,MIL,Adrian Houser,Trent Grisham,Yasmani Grandal,Christian Yelich,Eric Thames,Mike Moustakas,Ben Gamel,Orlando Arcia,Travis Shaw,Adrian Houser,Cubs,CHC,Yu Darvish,Jason Heyward,Nick Castellanos,Anthony Rizzo,Javier Baez,Kyle Schwarber,Victor Caratini,Tony Kemp,David Bote,Yu Darvish
Tigers,DET,Jordan Zimmermann,Harold Castro,Niko Goodrum,Miguel Cabrera,Brandon Dixon,Jeimer Candelario,Travis Demeritte,Victor Reyes,John Hicks,Gordon Beckham,Rangers,TEX,Pedro Payano,Shin-Soo Choo,Danny Santana,Elvis Andrus,Nomar Mazara,Willie Calhoun,Rougned Odor,Logan Forsythe,Delino DeShields,Jeff Mathis
Giants,SF,Tyler Beede,Donovan Solano,Brandon Belt,Austin Slater,Buster Posey,Evan Longoria,Kevin Pillar,Scooter Gennett,Mike Yastrzemski,Tyler Beede,Rockies,COL,Kyle Freeland,Charlie Blackmon,Trevor Story,Daniel Murphy,Nolan Arenado,Ryan McMahon,Raimel Tapia,Yonathan Daza,Chris Iannetta,Kyle Freeland
Cardinals,STL,Adam Wainwright,Matt Carpenter,Dexter Fowler,Paul Goldschmidt,Marcell Ozuna,Paul DeJong,Kolten Wong,Jose Martinez,Tommy Edman,Andrew Knizner,Athletics,OAK,Tanner Roark,Marcus Semien,Robbie Grossman,Matt Chapman,Matt Olson,Khris Davis,Mark Canha,Stephen Piscotty,Jurickson Profar,Dustin Garneau
Nationals,WSH,Patrick Corbin,Trea Turner,Adam Eaton,Anthony Rendon,Juan Soto,Matt Adams,Brian Dozier,Gerardo Parra,Yan Gomes,Patrick Corbin,D-backs,ARI,Taylor Clarke,Tim Locastro,Ketel Marte,Eduardo Escobar,Christian Walker,Adam Jones,Wilmer Flores,Nick Ahmed,Carson Kelly,Taylor Clarke
Padres,SD,Chris Paddack,Fernando Tatis Jr.,Greg Garcia,Manny Machado,Eric Hosmer,Hunter Renfroe,Josh Naylor,Francisco Mejia,Manuel Margot,Chris Paddack,Dodgers,LAD,Kenta Maeda,Joc Pederson,Alex Verdugo,Corey Seager,Max Muncy,AJ Pollock,Matt Beaty,Kristopher Negron,Russell Martin,Kenta Maeda
Red Sox,BOS,David Price,Mookie Betts,Rafael Devers,Xander Bogaerts,J.D. Martinez,Sam Travis,Andrew Benintendi,Christian Vazquez,Michael Chavis,Jackie Bradley Jr.,Yankees,NYY,J.A. Happ,Gleyber Torres,Aaron Judge,Didi Gregorius,Gio Urshela,Brett Gardner,Cameron Maybin,Mike Ford,Kyle Higashioka,Mike Tauchman
